x,u
0.0045045,0.0189321
0.00900901,0.0374858
0.0135135,0.05529
0.018018,0.0719888
0.0225225,0.0872484
0.027027,0.100764
0.0315315,0.112264
0.036036,0.121521
0.0405405,0.128347
0.045045,0.132608
0.0495496,0.134218
0.0540541,0.133144
0.0585586,0.129408
0.0630631,0.123085
0.0675676,0.114302
0.0720721,0.103233
0.0765766,0.0901002
0.0810811,0.0751661
0.0855856,0.0587292
0.0900901,0.0411182
0.0945946,0.0226852
0.0990991,0.00379859
0.103604,-0.0151639
0.108108,-0.0338233
0.112613,-0.0518065
0.117117,-0.0687539
0.121622,-0.0843267
0.126126,-0.0982137
0.130631,-0.110137
0.135135,-0.119859
0.13964,-0.127184
0.144144,-0.131966
0.148649,-0.13411
0.153153,-0.133573
0.157658,-0.130366
0.162162,-0.124552
0.166667,-0.116248
0.171171,-0.10562
0.175676,-0.0928798
0.18018,-0.0782832
0.184685,-0.0621214
0.189189,-0.0447178
0.193694,-0.0264201
0.198198,-0.00759414
0.202703,0.0113836
0.207207,0.0301338
0.211712,0.0482815
0.216216,0.0654639
0.220721,0.0813375
0.225225,0.095585
0.22973,0.107922
0.234234,0.1181
0.238739,0.125918
0.243243,0.131218
0.247748,0.133895
0.252252,0.133895
0.256757,0.131218
0.261261,0.125918
0.265766,0.1181
0.27027,0.107922
0.274775,0.095585
0.279279,0.0813375
0.283784,0.0654639
0.288288,0.0482815
0.292793,0.0301338
0.297297,0.0113836
0.301802,-0.00759414
0.306306,-0.0264201
0.310811,-0.0447178
0.315315,-0.0621214
0.31982,-0.0782832
0.324324,-0.0928798
0.328829,-0.10562
0.333333,-0.116248
0.337838,-0.124552
0.342342,-0.130366
0.346847,-0.133573
0.351351,-0.13411
0.355856,-0.131966
0.36036,-0.127184
0.364865,-0.119859
0.369369,-0.110137
0.373874,-0.0982137
0.378378,-0.0843267
0.382883,-0.0687539
0.387387,-0.0518065
0.391892,-0.0338233
0.396396,-0.0151639
0.400901,0.00379859
0.405405,0.0226852
0.40991,0.0411182
0.414414,0.0587292
0.418919,0.0751661
0.423423,0.0901002
0.427928,0.103233
0.432432,0.114302
0.436937,0.123085
0.441441,0.129408
0.445946,0.133144
0.45045,0.134218
0.454955,0.132608
0.459459,0.128347
0.463964,0.121521
0.468468,0.112264
0.472973,0.100764
0.477477,0.0872484
0.481982,0.0719888
0.486486,0.05529
0.490991,0.0374858
0.495496,0.0189321
