x,u
0.00495049,0.0712207
0.00990099,0.0678523
0.0148515,0.118555
0.019802,0.00660459
0.0247525,0.145122
0.029703,0.100754
0.0346535,0.0187189
0.039604,0.106322
0.0445545,0.00416816
0.0495049,0.0361915
0.0544554,0.0108863
0.0594059,0.142817
0.0643564,0.104822
0.0693069,0.17358
0.0742574,0.0186929
0.0792079,0.0517251
0.0841584,0.0256995
0.0891089,0.177721
0.0940594,0.0485915
0.0990099,0.0173292
0.10396,0.171034
0.108911,0.0469375
0.113861,0.0393555
0.118812,0.118057
0.123762,0.0558113
0.128713,0.078184
0.133663,0.148847
0.138614,0.0901547
0.143564,0.125069
0.148515,0.0327923
0.153465,0.09269
0.158416,0.172739
0.163366,0.0869798
0.168317,0.049127
0.173267,0.0399312
0.178218,0.0275103
0.183168,0.133819
0.188119,0.0709904
0.193069,0.0271178
0.19802,0.0560602
0.20297,0.0678786
0.207921,0.0117974
0.212871,0.160382
0.217822,0.0318075
0.222772,0.12015
0.227723,0.165857
0.232673,0.0974281
0.237624,0.0970894
0.242574,0.0946687
0.247525,0.0444318
0.252475,0.0728701
0.257426,0.0965549
0.262376,0.129038
0.267327,0.0178968
0.272277,0.0894181
0.277228,0.0441961
0.282178,0.121322
0.287129,0.0949551
0.292079,0.115194
0.29703,0.0706194
0.30198,0.148675
0.306931,0.0438355
0.311881,0.023365
0.316832,0.129899
0.321782,0.171931
0.326733,0.172573
0.331683,0.00794819
0.336634,0.0294504
0.341584,0.0798812
0.346535,0.0968696
0.351485,0.156338
0.356436,0.0802161
0.361386,0.0408431
0.366337,0.12538
0.371287,0.0840223
0.376238,0.159417
0.381188,0.108158
0.386139,0.160233
0.391089,0.172137
0.39604,0.0738567
0.40099,0.0774802
0.405941,0.110049
0.410891,0.127244
0.415842,0.0768968
0.420792,0.0416804
0.425743,0.118567
0.430693,0.0878218
0.435644,0.0173294
0.440594,0.0731545
0.445545,0.0660424
0.450495,0.0644142
0.455446,0.143488
0.460396,0.116545
0.465347,0.131168
0.470297,0.105145
0.475248,0.0934659
0.480198,0.0817015
0.485149,0.0697988
0.490099,0.162112
0.495049,0.0855652
