x,u
0.00495049,0.12473
0.00990099,0.0556148
0.0148515,0.017978
0.019802,0.0747833
0.0247525,0.127722
0.029703,0.113236
0.0346535,0.0327829
0.039604,0.122988
0.0445545,0.00729979
0.0495049,0.063383
0.0544554,0.082282
0.0594059,0.123686
0.0643564,0.12036
0.0693069,0.0511285
0.0742574,0.0959537
0.0792079,0.153804
0.0841584,0.0450081
0.0891089,0.121598
0.0940594,0.148316
0.0990099,0.156782
0.10396,0.173103
0.108911,0.145419
0.113861,0.0689242
0.118812,0.0803233
0.123762,0.034527
0.128713,0.073709
0.133663,0.0710302
0.138614,0.15789
0.143564,0.0926023
0.148515,0.05743
0.153465,0.0991136
0.158416,0.112873
0.163366,0.0891132
0.168317,0.0860372
0.173267,0.0699324
0.178218,0.174612
0.183168,0.107927
0.188119,0.0611106
0.193069,0.047492
0.19802,0.161396
0.20297,0.118877
0.207921,0.0838775
0.212871,0.0280145
0.217822,0.118922
0.222772,0.0839884
0.227723,0.100819
0.232673,0.107412
0.237624,0.0436019
0.242574,0.0393624
0.247525,0.0145979
0.252475,0.0644025
0.257426,0.169099
0.262376,0.162771
0.267327,0.0313431
0.272277,0.0933835
0.277228,0.140618
0.282178,0.0860416
0.287129,0.039864
0.292079,0.0120916
0.29703,0.123677
0.30198,0.070728
0.306931,0.0135536
0.311881,0.104136
0.316832,0.0378453
0.321782,0.111457
0.326733,0.0493645
0.331683,0.0771364
0.336634,0.17801
0.341584,0.139898
0.346535,0.043217
0.351485,0.147366
0.356436,0.140484
0.361386,0.008313
0.366337,0.156365
0.371287,0.0839337
0.376238,0.152758
0.381188,0.189419
0.386139,0.0277544
0.391089,0.0486012
0.39604,0.00291396
0.40099,0.0724763
0.405941,0.00308212
0.410891,0.0964117
0.415842,0.134671
0.420792,0.00977931
0.425743,0.0812159
0.430693,0.153804
0.435644,0.156782
0.440594,0.128117
0.445545,0.052445
0.450495,0.0495935
0.455446,0.12486
0.460396,0.0144592
0.465347,0.103285
0.470297,0.0577102
0.475248,0.100472
0.480198,0.0166526
0.485149,0.0590237
0.490099,0.0310444
0.495049,0.0234192
